unix_time,Global_active_power
1166289840,4.216
1166289900,5.36
1166289960,5.374
1166290020,5.388
1166290080,3.666
1166290140,3.52
1166290200,3.702
1166290260,3.7
1166290320,3.668
1166290380,3.662
1166290440,4.448
1166290500,5.412
1166290560,5.224
1166290620,5.268
1166290680,4.054
1166290740,3.384
1166290800,3.27
1166290860,3.43
1166290920,3.266
1166290980,3.728
1166291040,5.894
1166291100,7.706
1166291160,7.026
1166291220,5.174
1166291280,4.474
1166291340,3.248
1166291400,3.236
1166291460,3.228
1166291520,3.258
1166291580,3.178
1166291640,2.72
1166291700,3.758
1166291760,4.342
1166291820,4.512
1166291880,4.058
1166291940,2.472
1166292000,2.79
1166292060,2.624
1166292120,2.772
1166292180,3.74
1166292240,4.928
1166292300,6.052
1166292360,6.752
1166292420,6.474
1166292480,6.308
1166292540,4.464
1166292600,3.396
1166292660,3.09
1166292720,3.73
1166292780,2.308
1166292840,2.388
1166292900,4.598
1166292960,4.524
1166293020,4.202
1166293080,4.472
1166293140,2.852
1166293200,2.928
1166293260,2.94
1166293320,2.934
1166293380,2.926
1166293440,3.452
1166293500,4.87
1166293560,4.868
1166293620,4.866
1166293680,3.176
1166293740,2.92
1166293800,2.93
1166293860,2.912
1166293920,2.608
1166293980,2.714
1166294040,3.538
1166294100,6.072
1166294160,4.536
1166294220,4.408
1166294280,2.912
1166294340,2.326
1166294400,2.264
1166294460,2.27
1166294520,2.258
1166294580,2.188
1166294640,2.978
1166294700,4.2
1166294760,4.204
1166294820,4.218
1166294880,2.786
1166294940,2.54
1166295000,2.496
1166295060,2.336
1166295120,2.322
1166295180,2.448
1166295240,4.298
1166295300,4.23
1166295360,4.23
1166295420,3.924
1166295480,4.218
1166295540,4.224
1166295600,4.07
1166295660,3.612
1166295720,3.458
1166295780,3.434
1166295840,3.366
1166295900,3.404
1166295960,3.382
1166296020,3.616
1166296080,3.476
1166296140,3.394
1166296200,3.4
1166296260,3.414
1166296320,3.432
1166296380,3.418
1166296440,3.392
1166296500,3.394
1166296560,3.394
1166296620,3.406
1166296680,3.42
1166296740,3.418
1166296800,3.422
